log_raised_by_quarter,tokenforsale_dummy,kyc_dummy,whitelist_dummy,presale_raised_dummy,ethereum,whitelist_dummy,ind_entertainment,ind_business_services,ind_blockchain,ind_other_software,ind_finance,presale_dummy,presale_raised_dummy,percent_forsale,percent_forsale_ifpresent,percent_forsale_dummy,listing_dummy
22.41159,1,1,1,0,1,1,0,0,0,0,1,1,0,0.3,0.3,1,0
22.06915,1,0,0,0,1,0,0,0,0,1,0,1,0,,0,0,0
20.89957,1,0,1,0,1,1,0,0,0,0,0,1,0,0.8,0.8,1,0
20.89957,1,0,0,0,1,0,0,0,0,0,0,0,0,0.9,0.9,1,0
22.53391,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
22.53391,1,0,1,0,1,1,0,0,0,0,0,1,0,0.5,0.5,1,0
20.89957,1,1,1,0,1,1,0,0,0,0,0,0,0,0.7,0.7,1,0
22.41159,1,1,1,0,0,1,0,0,0,0,1,1,0,,0,0,0
22.53391,1,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.72,1,0
19.63956,1,1,0,0,1,0,0,0,1,0,0,0,0,0.3,0.3,1,0
18.86238,1,1,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,1,0
22.41159,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0
20.89957,1,0,1,0,1,1,1,0,0,0,0,1,0,0.67,0.67,1,0
22.53391,1,0,1,0,1,1,0,0,0,0,1,0,0,0.6,0.6,1,0
22.41159,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0
22.53391,1,1,0,0,1,0,1,0,0,0,0,0,0,,0,0,0
22.53391,1,1,0,0,1,0,0,1,0,0,0,1,0,0.63,0.63,1,0
22.41159,1,1,1,0,1,1,0,0,0,0,1,1,0,0.7,0.7,1,0
20.89957,1,0,1,0,1,1,0,0,0,0,0,0,0,0.4,0.4,1,0
20.89957,1,1,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,1,0
18.86238,1,0,0,0,1,0,0,0,0,0,0,1,0,0.85,0.85,1,0
20.89957,1,0,0,0,1,0,0,0,0,0,0,0,0,0.35,0.35,1,0
22.06915,1,1,1,0,0,1,0,1,0,0,0,1,0,0.4,0.4,1,0
21.53017,1,1,0,0,1,0,0,0,0,0,0,0,0,0.65,0.65,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,1,0,0.7,0.7,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,1,0,,0,0,0
22.27552,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0
22.06915,1,1,0,0,1,0,0,0,1,0,0,1,0,0.75,0.75,1,0
20.89957,1,1,1,0,1,1,0,0,0,0,0,1,0,,0,0,0
22.41159,1,0,0,0,1,0,1,0,0,0,0,1,0,0.6,0.6,1,0
21.72063,1,0,0,0,1,0,0,0,0,1,0,0,0,0.3,0.3,1,0
20.89957,1,0,1,0,1,1,0,0,0,0,0,1,0,0.9,0.9,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,1,0,0.55,0.55,1,0
19.63956,1,0,1,0,0,1,0,0,0,0,0,1,0,0.7,0.7,1,0
20.89957,1,0,0,0,1,0,0,0,0,0,1,1,0,0.6,0.6,1,0
22.27552,1,0,0,0,1,0,0,0,0,0,1,1,0,0.7,0.7,1,0
22.27552,1,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0.5,1,0
18.86238,1,1,1,0,0,1,0,0,0,0,0,0,0,0.15,0.15,1,0
20.89957,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
20.89957,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0
22.53391,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7,0.7,1,0
22.53391,1,0,1,0,1,1,0,1,0,0,0,1,0,,0,0,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,0,0,0.45,0.45,1,0
22.53391,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0
19.63956,1,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,0
22.41159,1,0,0,0,1,0,0,0,0,0,0,1,0,0.6,0.6,1,0
22.41159,1,1,0,0,0,0,0,0,1,0,0,0,0,0.9,0.9,1,0
22.41159,1,1,1,0,1,1,0,0,0,0,0,1,0,0.6,0.6,1,0
22.53391,1,0,0,1,0,0,1,0,0,0,0,1,1,,0,0,0
22.41159,1,1,0,0,1,0,0,1,0,0,0,1,0,0.5,0.5,1,0
22.53391,1,0,0,0,1,0,0,1,0,0,0,0,0,0.4,0.4,1,0
22.06915,1,1,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,1,0
18.86238,1,1,1,0,0,1,0,0,0,0,1,1,0,0.85,0.85,1,0
19.63956,1,1,1,0,1,1,0,0,0,0,0,1,0,0.6,0.6,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,1,1,0,0.5,0.5,1,0
22.06915,1,1,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,1,0,0.25,0.25,1,0
18.86238,1,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,0
22.06915,1,1,1,0,1,1,0,0,0,0,1,1,0,0.35,0.35,1,0
19.63956,1,0,1,0,1,1,0,0,0,0,0,1,0,,0,0,0
22.41159,1,1,0,0,1,0,0,0,0,0,1,0,0,0.4,0.4,1,0
19.63956,1,0,1,0,1,1,1,0,0,0,0,1,0,0.6,0.6,1,0
20.89957,1,1,1,0,0,1,0,0,1,0,0,1,0,0.556,0.556,1,0
19.63956,1,0,1,0,1,1,0,0,0,0,0,0,0,0.6,0.6,1,0
22.27552,1,0,0,0,1,0,0,0,0,0,1,1,0,0.11,0.11,1,0
20.89957,1,0,1,0,1,1,0,1,0,0,0,1,0,0.4,0.4,1,0
22.41159,1,0,0,0,0,0,0,0,0,0,1,1,0,,0,0,0
21.53017,1,0,0,0,1,0,0,0,0,0,0,1,0,0.2666667,0.2666667,1,0
22.06915,1,1,1,0,1,1,0,1,0,0,0,1,0,0.65,0.65,1,0
22.06915,1,1,0,0,1,0,1,0,0,0,0,1,0,0.72,0.72,1,0
22.41159,1,1,0,0,1,0,1,0,0,0,0,0,0,0.7,0.7,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,1,0,0.88,0.88,1,0
22.41159,1,1,0,0,0,0,0,0,0,0,1,1,0,0.42,0.42,1,0
22.53391,1,1,0,0,1,0,0,0,0,0,1,1,0,0.01,0.01,1,0
22.06915,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,0
22.53391,1,0,1,0,1,1,1,0,0,0,0,1,0,0.8,0.8,1,0
20.89957,1,0,0,0,1,0,0,1,0,0,0,1,0,,0,0,0
16.87992,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,1,0
22.06915,1,1,0,0,1,0,0,0,0,0,0,0,0,0.75,0.75,1,0
22.06915,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
